Generation,P0_meanFit,P0_varFit,relFitness,meanHI
0,0.8145059999999996,0.0,1.0,1.0494505494505495
1,0.8237809999999982,0.0016339999999999974,1.0113872703209086,0.9995004995004994
2,0.8134686899999999,0.00014143000000000003,0.9987264550537379,1.0002547452547452
3,0.80947778,0.0002732000000000001,0.9938266630325616,1.0018679850249743
4,0.8077281,0.0003455799999999999,0.9916785143387524,1.0028117011088913
5,0.8071549299999997,0.00036632,0.9909748117263716,1.0038136272727276
6,0.8070164799999999,0.00038291,0.9908048313947346,1.0040203458641361
7,0.80714135,0.00038959999999999993,0.9909581390437888,1.0045787848551446
8,0.80755178,0.00040636,0.9914620395675413,1.0048648059140861
9,0.8079745599999997,0.0004205999999999999,0.9919811026560883,1.0050738485614388
10,0.8085255600000002,0.00043953,0.9926575863161227,1.0052129652147856
20,0.8149422900000003,0.00064853,1.0005356498294669,1.0059040906893106
30,0.8237616100000001,0.0009021700000000002,1.011363464480311,1.0058269438761238
40,0.8361213100000002,0.0012193100000000004,1.0265379383331734,1.0050620176323677
50,0.8520974299999999,0.0015439599999999992,1.0461524285886166,1.0037700759440562
60,0.8715051399999997,0.00179514,1.0699800124247085,1.0021708483616385
70,0.8923125700000003,0.0019025399999999999,1.0955260857501354,1.000543856133866
80,0.9134821900000002,0.0017833599999999997,1.1215168335162664,0.9985302481518482
90,0.9316463499999998,0.0015577899999999997,1.1438176637127289,0.9971023234565436
100,0.9464663799999999,0.0012478299999999997,1.1620127782975205,0.9959871234965033
